Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ahip.demo.json	12713	-	0	1	0	0	0	0	48	202	0	0	0	0	1	0	0	0	0	0	282	333	0	0	1	0	17	0	9
fsh-generated/resources/CodeSystem-AHIP-Demo-Additional-Language.json	735	9	0	0	3	0	1	0	3	18	0	0	11	0	0	0	0	0	0	0	56	301	0	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-AHIP-Demo-Additional-NullFlavor.json	1330	1	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	14	173	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-AHIP-Demo-Additional-Reading-Modes.json	860	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	311	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-background-codes.json	2805	4	0	0	1	0	0	0	7	54	0	0	0	0	0	0	0	0	0	0	29	162	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-care-consideration-codes.json	1291	1	0	0	0	0	0	0	1	26	0	0	0	0	1	0	0	1	0	0	20	106	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-disability-codes.json	1656	1	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	21	79	0	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-gender-codes.json	733	1	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	9	43	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-interpreter-modes.json	808	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	47	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-military-period.json	1521	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	18	81	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-outreach-modes.json	862	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	54	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-relationship-status-codes.json	1084	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	49	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ahip-demo-additional-religion-codes.json	2129	1	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	24	58	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-AHIPDemoQuestionnaire.json	31695	18	0	0	0	0	0	0	4	1139	0	0	0	0	0	0	0	0	0	0	273	3039	0	0	0	0	8	0	2
fsh-generated/resources/ValueSet-ahip-background-asian-category.json	2988	2	0	0	0	0	0	0	3	156	0	0	0	0	0	0	0	0	0	0	33	269	0	0	0	0	3	0	0
fsh-generated/resources/ValueSet-ahip-background-black-category.json	3099	2	0	0	0	0	0	0	1	16	0	0	0	0	1	0	0	0	0	0	26	151	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-background-latino-category.json	3395	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	28	319	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-background-middle-eastern-category.json	3041	2	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	23	149	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-background-native-american-category.json	3519	2	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	33	222	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-background-native-hawaiian-category.json	2697	1	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	95	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-background-white-category.json	3450	2	0	0	0	0	0	0	1	14	0	0	0	0	0	1	0	0	0	0	20	162	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-birth-sex.json	1676	2	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0	0	17	100	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-care-consideration.json	2321	3	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	12	115	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-demo-gender-identity.json	2494	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	31	107	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-ahip-disability.json	2605	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	16	207	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-interpreter-modes.json	1438	4	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	10	159	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-military-service-period.json	2050	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	14	153	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-outreach-mode.json	1510	2	0	0	0	0	0	0	0	19	0	0	0	0	4	0	0	0	0	0	14	124	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ahip-preferred-pronouns.json	2041	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	214	0	0	1	0	0	0	0
fsh-generated/resources/ValueSet-ahip-race-category.json	2108	1	0	0	2	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	14	122	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ahip-reading-language-prereferences.json	8597	5	0	0	0	0	0	0	2	22	0	0	0	0	0	0	0	1	0	0	41	165	0	0	0	0	11	0	1
